9000 96324 
1 120 1
1 473 1
1 2347 1
1 2761 1
1 2876 1
1 3083 1
1 3447 1
1 3801 1
1 3955 1
1 4494 1
1 4500 1
1 4663 1
1 6636 1
1 6776 1
1 7056 1
1 7686 1
1 8172 1
1 8254 1
1 8539 1
1 8923 1
1 8943 1
2 146 1
2 913 1
2 1488 1
2 1492 1
2 1503 1
2 1639 1
2 1738 1
2 3308 1
2 4081 1
2 4431 1
2 4541 1
2 4915 1
2 5022 1
2 5744 1
2 6027 1
2 6275 1
2 6290 1
2 7424 1
2 7469 1
2 8821 1
3 111 1
3 256 1
3 522 1
3 838 1
3 1457 1
3 1651 1
3 1769 1
3 2375 1
3 2754 1
3 3086 1
3 3442 1
3 4071 1
3 4901 1
3 5345 1
3 6112 1
3 6668 1
3 6890 1
3 8003 1
3 8228 1
3 8714 1
3 8988 1
4 297 1
4 358 1
4 582 1
4 602 1
4 926 1
4 1622 1
4 2674 1
4 2780 1
4 2876 1
4 2975 1
4 3292 1
4 3310 1
4 3668 1
4 3742 1
4 3792 1
4 4185 1
4 4449 1
4 5044 1
4 7077 1
4 8067 1
4 8810 1
5 144 1
5 317 1
5 2182 1
5 2327 1
5 2354 1
5 2370 1
5 2861 1
5 2942 1
5 2963 1
5 3339 1
5 4160 1
5 4318 1
5 4585 1
5 5108 1
5 6230 1
5 6353 1
5 6609 1
5 6657 1
5 6703 1
5 7977 1
5 8200 1
5 8298 1
6 74 1
6 200 1
6 1435 1
6 1461 1
6 1590 1
6 1597 1
6 1835 1
6 2399 1
6 2666 1
6 4128 1
6 4163 1
6 4851 1
6 4932 1
6 5492 1
6 6026 1
6 6735 1
6 7306 1
6 7448 1
6 7718 1
6 8360 1
6 8819 1
7 204 1
7 296 1
7 894 1
7 1608 1
7 2319 1
7 2501 1
7 2714 1
7 3031 1
7 3217 1
7 4161 1
7 5393 1
7 5403 1
7 5969 1
7 6427 1
7 7212 1
7 7383 1
7 7649 1
7 8161 1
7 8668 1
7 8739 1
7 8962 1
8 108 1
8 333 1
8 376 1
8 505 1
8 535 1
8 843 1
8 2128 1
8 3052 1
8 3889 1
8 3899 1
8 4237 1
8 5186 1
8 5994 1
8 6061 1
8 6838 1
8 6889 1
8 7206 1
8 7966 1
8 7968 1
8 8143 1
8 8484 1
8 8561 1
9 68 1
9 222 1
9 269 1
9 1181 1
9 1505 1
9 1710 1
9 1974 1
9 2231 1
9 2390 1
9 2501 1
9 3235 1
9 3643 1
9 3674 1
9 3874 1
9 4585 1
9 5763 1
9 6810 1
9 7066 1
9 7436 1
9 7949 1
9 8707 1
9 8933 1
10 92 1
10 425 1
10 593 1
10 955 1
10 1298 1
10 1452 1
10 3347 1
10 3412 1
10 3942 1
10 4369 1
10 5333 1
10 5338 1
10 5556 1
10 5849 1
10 6517 1
10 7148 1
10 8029 1
10 8711 1
10 8753 1
10 8801 1
10 8833 1
10 8884 1
11 309 1
11 672 1
11 1161 1
11 1519 1
11 2379 1
11 2485 1
11 3049 1
11 3534 1
11 4643 1
11 4808 1
11 5103 1
11 5150 1
11 5306 1
11 5520 1
11 5583 1
11 5930 1
11 6647 1
11 6707 1
11 7591 1
11 8431 1
11 8889 1
12 112 1
12 297 1
12 779 1
12 1054 1
12 1382 1
12 1745 1
12 1910 1
12 2278 1
12 2282 1
12 2960 1
12 3879 1
12 4015 1
12 4744 1
12 5743 1
12 6552 1
12 6913 1
12 7034 1
12 7599 1
12 7896 1
12 8387 1
12 8461 1
13 703 1
13 757 1
13 1518 1
13 2103 1
13 2404 1
13 2681 1
13 3240 1
13 3684 1
13 3688 1
13 4401 1
13 4624 1
13 5333 1
13 5560 1
13 5827 1
13 6926 1
13 7085 1
13 7880 1
13 7923 1
13 8512 1
13 8650 1
13 8912 1
14 854 1
14 920 1
14 1009 1
14 2114 1
14 2191 1
14 2347 1
14 3557 1
14 3921 1
14 4222 1
14 4917 1
14 5746 1
14 5821 1
14 6026 1
14 7257 1
14 7303 1
14 7633 1
14 7746 1
14 7771 1
14 8098 1
14 8433 1
14 8598 1
14 8837 1
15 164 1
15 1036 1
15 1324 1
15 1764 1
15 1993 1
15 2453 1
15 3563 1
