5000 240551 
1 105 1
1 128 1
1 296 1
1 541 1
1 578 1
1 650 1
1 665 1
1 711 1
1 743 1
1 839 1
1 853 1
1 855 1
1 977 1
1 982 1
1 1043 1
1 1056 1
1 1077 1
1 1108 1
1 1110 1
1 1119 1
1 1173 1
1 1174 1
1 1188 1
1 1211 1
1 1256 1
1 1265 1
1 1376 1
1 1382 1
1 1418 1
1 1423 1
1 1432 1
1 1453 1
1 1479 1
1 1558 1
1 1629 1
1 1697 1
1 1726 1
1 1903 1
1 1931 1
1 2111 1
1 2127 1
1 2283 1
1 2424 1
1 2460 1
1 2467 1
1 2503 1
1 2603 1
1 2670 1
1 2687 1
1 2754 1
1 2841 1
1 2933 1
1 2995 1
1 3134 1
1 3160 1
1 3227 1
1 3351 1
1 3357 1
1 3455 1
1 3465 1
1 3499 1
1 3506 1
1 3512 1
1 3525 1
1 3612 1
1 3613 1
1 3672 1
1 3680 1
1 3695 1
1 3749 1
1 3797 1
1 3875 1
1 3903 1
1 3949 1
1 4010 1
1 4086 1
1 4120 1
1 4148 1
1 4175 1
1 4210 1
1 4230 1
1 4243 1
1 4255 1
1 4362 1
1 4377 1
1 4577 1
1 4579 1
1 4586 1
1 4623 1
1 4655 1
1 4709 1
1 4717 1
1 4838 1
1 4954 1
1 4955 1
2 49 1
2 58 1
2 182 1
2 273 1
2 321 1
2 503 1
2 582 1
2 710 1
2 772 1
2 818 1
2 841 1
2 910 1
2 965 1
2 1011 1
2 1027 1
2 1067 1
2 1103 1
2 1122 1
2 1153 1
2 1170 1
2 1194 1
2 1286 1
2 1344 1
2 1366 1
2 1373 1
2 1384 1
2 1465 1
2 1487 1
2 1552 1
2 1557 1
2 1594 1
2 1644 1
2 1658 1
2 1692 1
2 1895 1
2 1919 1
2 1994 1
2 2058 1
2 2219 1
2 2248 1
2 2256 1
2 2348 1
2 2418 1
2 2477 1
2 2598 1
2 2651 1
2 2679 1
2 2701 1
2 2722 1
2 2732 1
2 2763 1
2 2787 1
2 2792 1
2 2914 1
2 2925 1
2 2965 1
2 2968 1
2 3024 1
2 3036 1
2 3069 1
2 3151 1
2 3501 1
2 3563 1
2 3604 1
2 3672 1
2 3702 1
2 3714 1
2 3792 1
2 3824 1
2 3850 1
2 3907 1
2 3910 1
2 4025 1
2 4060 1
2 4193 1
2 4257 1
2 4297 1
2 4309 1
2 4496 1
2 4505 1
2 4597 1
2 4710 1
2 4721 1
2 4722 1
2 4792 1
2 4795 1
2 4817 1
2 4849 1
2 4897 1
2 4906 1
2 4935 1
3 35 1
3 99 1
3 109 1
3 236 1
3 278 1
3 281 1
3 298 1
3 302 1
3 319 1
3 333 1
3 373 1
3 481 1
3 510 1
3 512 1
3 595 1
3 707 1
3 738 1
3 806 1
3 814 1
3 833 1
3 897 1
3 961 1
3 1030 1
3 1119 1
3 1183 1
3 1192 1
3 1205 1
3 1256 1
3 1277 1
3 1478 1
3 1514 1
3 1532 1
3 1577 1
3 1672 1
3 1692 1
3 1725 1
3 1855 1
3 1903 1
3 1985 1
3 2187 1
3 2189 1
3 2195 1
3 2258 1
3 2311 1
3 2380 1
3 2462 1
3 2494 1
3 2721 1
3 2836 1
3 2855 1
3 2856 1
3 2891 1
3 3016 1
3 3034 1
3 3100 1
3 3148 1
3 3153 1
3 3224 1
3 3256 1
3 3387 1
3 3538 1
3 3659 1
3 3683 1
3 3716 1
3 3719 1
3 3783 1
3 3832 1
3 3903 1
3 4172 1
3 4182 1
3 4211 1
3 4315 1
3 4324 1
3 4337 1
3 4365 1
3 4388 1
3 4649 1
3 4692 1
