20000 205364 
1 459 1
1 979 1
1 1902 1
1 5808 1
1 6051 1
1 7942 1
1 7952 1
1 8877 1
1 10305 1
1 11624 1
1 11696 1
1 12595 1
1 14671 1
1 14779 1
1 16555 1
1 17573 1
1 18403 1
1 18457 1
1 19382 1
2 367 1
2 1230 1
2 2371 1
2 3372 1
2 4575 1
2 4921 1
2 6742 1
2 6821 1
2 7017 1
2 8499 1
2 9262 1
2 10467 1
2 11507 1
2 12663 1
2 13331 1
2 13954 1
2 14306 1
2 17060 1
2 17712 1
3 676 1
3 5987 1
3 6550 1
3 6552 1
3 8581 1
3 9368 1
3 11017 1
3 12327 1
3 13671 1
3 14312 1
3 14389 1
3 14558 1
3 14781 1
3 15781 1
3 16945 1
3 17443 1
3 17958 1
3 17996 1
3 18535 1
3 18775 1
4 2194 1
4 4200 1
4 5726 1
4 5827 1
4 5984 1
4 6043 1
4 7541 1
4 7944 1
4 8381 1
4 8422 1
4 10027 1
4 10063 1
4 10737 1
4 10834 1
4 10966 1
4 12843 1
4 15008 1
4 15119 1
4 17561 1
5 397 1
5 2967 1
5 3086 1
5 3402 1
5 5150 1
5 5364 1
5 5846 1
5 7160 1
5 7690 1
5 9375 1
5 10057 1
5 10207 1
5 11327 1
5 11958 1
5 14971 1
5 15370 1
5 16223 1
5 17097 1
5 17198 1
5 18075 1
5 18214 1
6 978 1
6 1700 1
6 4983 1
6 6735 1
6 7112 1
6 7691 1
6 7750 1
6 8169 1
6 11052 1
6 12196 1
6 12267 1
6 12779 1
6 13364 1
6 13567 1
6 13843 1
6 14798 1
6 15106 1
6 16318 1
6 17191 1
6 19644 1
7 146 1
7 2382 1
7 3840 1
7 4425 1
7 5788 1
7 6212 1
7 6387 1
7 6876 1
7 7436 1
7 7716 1
7 7773 1
7 9246 1
7 9970 1
7 10472 1
7 11268 1
7 11313 1
7 13074 1
7 14212 1
7 16495 1
7 17005 1
7 19157 1
8 78 1
8 1503 1
8 2253 1
8 2484 1
8 4569 1
8 5127 1
8 5195 1
8 6186 1
8 6305 1
8 9417 1
8 10682 1
8 12167 1
8 12974 1
8 13918 1
8 14884 1
8 15104 1
8 15250 1
8 15588 1
8 16013 1
8 16286 1
8 19310 1
9 562 1
9 602 1
9 938 1
9 2397 1
9 4013 1
9 6986 1
9 7070 1
9 7337 1
9 8096 1
9 10031 1
9 10061 1
9 12016 1
9 12853 1
9 14058 1
9 14597 1
9 15042 1
9 15240 1
9 17192 1
9 18133 1
9 18642 1
9 19132 1
10 275 1
10 394 1
10 1836 1
10 3809 1
10 4396 1
10 5297 1
10 5374 1
10 7870 1
10 12409 1
10 12900 1
10 14316 1
10 15113 1
10 15150 1
10 16108 1
10 17550 1
10 17777 1
10 17911 1
10 18477 1
10 18767 1
10 18814 1
11 2158 1
11 2492 1
11 4713 1
11 5452 1
11 5693 1
11 6363 1
11 6775 1
11 6880 1
11 7716 1
11 7838 1
11 9736 1
11 9959 1
11 10091 1
11 10886 1
11 11004 1
11 12993 1
11 13045 1
11 13284 1
11 13364 1
11 17511 1
11 18619 1
12 696 1
12 1531 1
12 1641 1
12 3110 1
12 4482 1
12 4553 1
12 5187 1
12 5532 1
12 8335 1
12 8613 1
12 9685 1
12 11498 1
12 11686 1
12 12456 1
12 12847 1
12 13554 1
12 16166 1
12 16221 1
12 17693 1
12 18887 1
12 19493 1
13 361 1
13 1713 1
13 1745 1
13 3617 1
13 3925 1
13 6924 1
13 8291 1
13 8776 1
13 9221 1
13 9232 1
13 9346 1
13 10484 1
13 10956 1
13 11742 1
13 12563 1
13 13179 1
13 14148 1
13 14630 1
13 15646 1
13 17261 1
13 18896 1
14 251 1
14 296 1
14 488 1
14 1843 1
14 2194 1
14 6601 1
14 7085 1
14 8747 1
14 8943 1
14 9442 1
14 9577 1
14 11113 1
14 11355 1
14 12220 1
14 16692 1
14 16761 1
14 17824 1
14 18463 1
14 19089 1
14 19142 1
14 19408 1
15 1821 1
15 2599 1
15 4697 1
15 5821 1
15 6131 1
15 6466 1
15 6475 1
15 9622 1
15 9973 1
15 11338 1
15 11408 1
15 11643 1
15 13250 1
15 14121 1
15 14282 1
15 16837 1
15 17026 1
15 17670 1
15 18839 1
15 19399 1
15 19941 1
16 30 1
16 453 1
16 853 1
16 2944 1
16 3751 1
16 3977 1
16 4741 1
16 6330 1
16 6537 1
16 8015 1
16 8656 1
16 8765 1
16 9101 1
16 11423 1
16 14233 1
16 14462 1
16 14890 1
16 16469 1
16 17023 1
16 18101 1
16 19746 1
17 603 1
17 2843 1
17 3236 1
17 3337 1
17 4896 1
17 5169 1
17 5998 1
17 6089 1
17 6168 1
17 7998 1
17 8312 1
17 8653 1
17 8954 1
17 9882 1
17 10206 1
17 10269 1
17 10362 1
17 12796 1
17 14095 1
17 16182 1
17 19364 1
18 460 1
18 3669 1
18 3700 1
18 3825 1
18 4735 1
18 5014 1
18 5932 1
18 7181 1
18 8616 1
18 10609 1
18 11332 1
18 11353 1
18 12193 1
18 12352 1
18 12637 1
18 13994 1
18 16014 1
18 16344 1
18 16732 1
18 17099 1
18 17563 1
19 39 1
19 1965 1
19 2685 1
19 3148 1
19 3409 1
19 5196 1
19 7114 1
19 9228 1
19 11138 1
19 12171 1
19 13003 1
19 13038 1
19 13172 1
19 14420 1
19 14721 1
19 15227 1
19 16292 1
19 16386 1
19 17038 1
19 17074 1
19 19085 1
20 1098 1
20 1449 1
20 2067 1
20 2322 1
20 2646 1
20 3026 1
20 5657 1
20 6328 1
20 6667 1
20 8330 1
20 8432 1
20 11896 1
20 13014 1
20 13135 1
20 13521 1
20 13664 1
20 13777 1
20 14526 1
20 17189 1
20 17204 1
20 19519 1
21 416 1
21 1205 1
21 2051 1
21 2097 1
21 2223 1
21 2225 1
21 3805 1
21 5616 1
21 6703 1
21 6876 1
21 7609 1
21 7618 1
21 7935 1
21 11555 1
21 12266 1
21 12457 1
21 12571 1
21 15106 1
21 15872 1
21 16685 1
21 16960 1
22 353 1
22 1220 1
22 1758 1
22 3046 1
22 4476 1
22 9409 1
22 10051 1
22 10184 1
22 10386 1
22 10682 1
22 11006 1
22 13759 1
22 13859 1
22 15390 1
22 15439 1
22 17260 1
22 17924 1
22 18240 1
22 18915 1
22 19266 1
22 19311 1
23 319 1
23 556 1
23 670 1
23 1777 1
23 1962 1
23 2351 1
23 2489 1
23 2602 1
23 4456 1
23 5106 1
23 5142 1
23 7333 1
23 7910 1
23 8676 1
23 10560 1
23 10640 1
23 12469 1
23 12690 1
23 14689 1
23 16131 1
23 16548 1
24 730 1
24 1923 1
24 1979 1
24 2338 1
24 6765 1
24 8575 1
24 9530 1
24 10765 1
24 11058 1
24 12729 1
24 13762 1
24 15812 1
24 15911 1
24 16655 1
24 17076 1
24 17214 1
24 17259 1
24 18463 1
24 19133 1
24 19452 1
24 19905 1
25 39 1
25 177 1
25 209 1
25 1096 1
25 1521 1
25 1937 1
25 4658 1
25 6005 1
25 6505 1
25 6579 1
25 10263 1
25 10457 1
25 11560 1
25 12652 1
25 13691 1
25 14698 1
25 15670 1
25 15724 1
25 17000 1
25 19749 1
25 19981 1
26 1411 1
26 1563 1
26 1772 1
26 2557 1
26 7036 1
26 7105 1
26 9015 1
26 9065 1
26 10762 1
26 12362 1
26 13239 1
26 13925 1
26 16944 1
26 17098 1
26 17299 1
26 17794 1
26 17908 1
26 18217 1
26 18271 1
26 18661 1
27 121 1
27 1463 1
27 2137 1
27 4030 1
27 4679 1
27 4691 1
27 5374 1
27 5756 1
27 6052 1
27 9902 1
27 10620 1
27 11401 1
27 11914 1
27 13745 1
27 15786 1
27 16351 1
27 16734 1
27 18586 1
27 19137 1
28 1617 1
28 2083 1
28 4402 1
28 5450 1
28 6505 1
28 7613 1
28 9857 1
28 10508 1
28 10596 1
28 10678 1
28 11300 1
28 11673 1
28 12717 1
28 13527 1
28 13969 1
28 14744 1
28 15684 1
28 16573 1
28 17697 1
28 17893 1
29 1473 1
29 1803 1
29 2031 1
29 3315 1
29 3362 1
29 4116 1
29 4518 1
29 4906 1
29 5113 1
29 5226 1
29 6963 1
29 7277 1
29 7550 1
29 8807 1
29 11928 1
29 12842 1
29 15984 1
29 16177 1
29 17871 1
29 18875 1
29 19544 1
30 533 1
30 847 1
30 1034 1
30 1057 1
30 2200 1
30 5406 1
30 6894 1
30 7667 1
30 8379 1
30 8403 1
30 9177 1
30 9817 1
30 10229 1
30 10933 1
30 12993 1
30 13659 1
30 13684 1
30 16034 1
30 17048 1
30 17754 1
31 717 1
31 2762 1
31 2937 1
31 6424 1
31 8689 1
31 9222 1
31 9413 1
31 11158 1
31 12260 1
31 12767 1
31 12889 1
31 13128 1
31 13821 1
31 14059 1
31 14196 1
31 14889 1
31 18187 1
31 18446 1
31 18486 1
31 18541 1
31 19286 1
32 2749 1
32 3968 1
32 4235 1
32 7776 1
32 10779 1
32 11521 1
32 11795 1
32 11832 1
32 11927 1
32 13224 1
32 13439 1
32 13655 1
32 13856 1
32 14460 1
32 15022 1
32 15318 1
32 17597 1
32 19065 1
32 19342 1
32 19719 1
32 19746 1
33 93 1
33 976 1
33 998 1
33 1790 1
33 3623 1
33 6314 1
33 6526 1
33 8284 1
33 9809 1
33 11066 1
33 11813 1
33 11976 1
33 13363 1
33 13382 1
33 13729 1
33 13877 1
33 14286 1
33 15317 1
33 16624 1
33 19289 1
34 1299 1
34 3049 1
34 3344 1
34 4046 1
34 4880 1
34 5103 1
34 5164 1
34 5250 1
34 5529 1
34 7097 1
34 8834 1
34 10553 1
34 13440 1
34 16160 1
34 17169 1
34 17252 1
34 19467 1
34 20000 1
35 926 1
35 1709 1
35 2130 1
35 4130 1
35 5921 1
35 6003 1
35 7859 1
35 9138 1
35 10700 1
35 10976 1
35 11992 1
35 12007 1
35 12991 1
35 13418 1
35 14190 1
35 17573 1
35 18090 1
35 18154 1
35 19100 1
35 19105 1
36 635 1
36 2691 1
36 2734 1
36 5886 1
36 7959 1
36 9432 1
36 10426 1
36 11287 1
36 11885 1
36 12546 1
36 13562 1
36 13922 1
36 14421 1
36 14473 1
36 14972 1
36 15196 1
36 17717 1
36 18625 1
36 19369 1
36 19431 1
36 19501 1
37 747 1
37 2378 1
37 2975 1
37 3356 1
37 3821 1
37 4218 1
37 5887 1
37 7120 1
37 7655 1
37 8410 1
37 9400 1
37 11992 1
37 15155 1
37 15243 1
37 15854 1
37 17032 1
37 17189 1
37 17271 1
37 18157 1
37 19180 1
37 19999 1
38 79 1
38 1436 1
38 3100 1
38 3929 1
38 4601 1
38 4618 1
38 5840 1
38 6527 1
38 7945 1
38 8565 1
38 8764 1
38 9533 1
38 9788 1
38 9915 1
38 13398 1
38 14936 1
38 16320 1
38 16414 1
38 18651 1
38 19033 1
38 19308 1
39 297 1
39 2168 1
39 4384 1
39 4480 1
39 5127 1
39 5962 1
39 6701 1
39 7113 1
39 7312 1
39 8968 1
39 10262 1
39 10420 1
39 11348 1
39 11370 1
39 11650 1
39 12850 1
39 15058 1
39 15639 1
39 18136 1
39 19344 1
39 19609 1
40 584 1
40 641 1
40 2647 1
40 2984 1
40 3475 1
40 3962 1
40 5042 1
40 5443 1
40 6481 1
40 8625 1
40 9962 1
40 10138 1
40 10921 1
40 14598 1
40 16149 1
40 16619 1
40 17382 1
40 17592 1
40 17688 1
40 17821 1
40 18836 1
41 655 1
41 5891 1
41 6524 1
41 6805 1
41 6986 1
41 8174 1
41 9720 1
41 10434 1
41 12602 1
41 13155 1
41 15347 1
41 15682 1
41 16363 1
41 16642 1
41 16689 1
41 17408 1
41 18252 1
41 18656 1
41 19580 1
41 19839 1
42 260 1
42 3617 1
42 3928 1
42 4778 1
42 5581 1
42 6838 1
42 7516 1
42 7674 1
42 7995 1
42 8626 1
42 10531 1
42 13316 1
42 13929 1
42 14328 1
42 14705 1
42 15347 1
42 15489 1
42 16633 1
42 17668 1
42 18440 1
42 19410 1
43 589 1
43 803 1
43 1597 1
43 1671 1
43 2076 1
43 2366 1
43 3295 1
43 3732 1
43 4649 1
43 5006 1
43 7383 1
43 8798 1
43 9986 1
43 10452 1
43 10519 1
43 11966 1
43 13488 1
43 13970 1
43 17691 1
44 1602 1
44 1626 1
44 2350 1
44 2571 1
44 3245 1
44 3863 1
44 5012 1
44 5678 1
44 5928 1
44 7619 1
44 9526 1
44 10144 1
44 12596 1
44 13711 1
44 15040 1
44 15813 1
44 16636 1
44 16867 1
44 17706 1
44 17848 1
44 19587 1
45 849 1
45 2296 1
45 2378 1
45 2760 1
45 2819 1
45 4460 1
45 6497 1
45 7141 1
45 7165 1
45 9174 1
45 9713 1
45 10509 1
45 12148 1
45 13078 1
45 14625 1
45 16470 1
45 16866 1
45 17990 1
45 19641 1
45 19710 1
46 1186 1
46 2635 1
46 4563 1
46 4584 1
46 4596 1
46 5200 1
46 6934 1
46 7587 1
46 8788 1
46 10498 1
46 11142 1
46 11448 1
46 13259 1
46 13997 1
46 14626 1
46 14648 1
46 16261 1
46 16424 1
46 16965 1
46 17386 1
46 19852 1
47 2502 1
47 7213 1
47 7500 1
47 8274 1
47 9095 1
47 10222 1
47 10657 1
47 10792 1
47 11150 1
47 11270 1
47 13429 1
47 13477 1
47 14300 1
47 15302 1
47 16210 1
47 17082 1
47 17239 1
47 18276 1
47 19204 1
47 19323 1
48 121 1
48 412 1
48 1631 1
48 1974 1
48 2778 1
48 3590 1
48 3702 1
48 4126 1
48 7453 1
48 7533 1
48 7827 1
48 8305 1
48 12187 1
48 12261 1
48 13166 1
48 13726 1
48 14885 1
48 14946 1
48 18544 1
48 18546 1
48 19695 1
49 255 1
49 737 1
49 1638 1
49 2059 1
49 2535 1
49 3898 1
49 4639 1
49 5920 1
49 8224 1
49 8965 1
49 9162 1
49 9427 1
49 10476 1
49 15210 1
49 15712 1
49 16388 1
49 16617 1
49 16705 1
49 16806 1
49 18060 1
49 19252 1
50 507 1
50 1721 1
50 2861 1
50 6341 1
50 6685 1
50 8386 1
50 9244 1
50 9624 1
50 11490 1
50 13527 1
50 14242 1
50 14269 1
50 15235 1
50 15656 1
50 16857 1
50 16897 1
50 17172 1
50 17188 1
50 17250 1
50 18989 1
51 1047 1
51 2081 1
51 3302 1
51 3549 1
51 3897 1
51 5722 1
51 6309 1
51 7240 1
51 8221 1
51 10122 1
51 10183 1
51 11342 1
51 11647 1
51 12817 1
51 15037 1
51 15418 1
51 16184 1
51 16186 1
51 16356 1
51 18570 1
51 18927 1
52 254 1
52 383 1
52 766 1
52 1241 1
52 4144 1
52 4460 1
52 5124 1
52 5703 1
52 6548 1
52 7084 1
52 8163 1
52 13006 1
52 13921 1
52 14030 1
52 14678 1
52 14702 1
52 15625 1
52 17776 1
52 17792 1
52 18183 1
53 2234 1
53 2734 1
53 4277 1
53 4696 1
53 5787 1
53 5841 1
53 6039 1
53 6834 1
53 8066 1
53 8179 1
53 9635 1
53 11159 1
53 14068 1
53 15411 1
53 16391 1
53 17898 1
53 18309 1
