300 1184
1 5 1
1 6 1
1 7 1
1 8 1
1 10 1
1 12 1
1 13 1
1 16 1
1 18 1
1 19 1
1 21 1
1 22 1
1 24 1
1 25 1
1 26 1
1 27 1
1 30 1
1 38 1
1 42 1
1 44 1
1 45 1
1 47 1
1 49 1
1 51 1
1 54 1
1 55 1
1 56 1
1 58 1
1 69 1
1 70 1
1 71 1
1 73 1
1 75 1
1 80 1
1 91 1
1 100 1
1 114 1
1 141 1
1 143 1
1 163 1
1 164 1
1 183 1
1 184 1
1 188 1
1 197 1
1 199 1
1 200 1
1 220 1
1 221 1
1 223 1
1 233 1
1 235 1
1 238 1
1 239 1
1 243 1
1 246 1
1 259 1
1 268 1
1 275 1
1 289 1
1 300 1
2 5 1
2 6 1
2 7 1
2 8 1
2 10 1
2 12 1
2 14 1
2 15 1
2 16 1
2 17 1
2 23 1
2 25 1
2 26 1
2 30 1
2 31 1
2 33 1
2 39 1
2 42 1
2 43 1
2 51 1
2 58 1
2 59 1
2 68 1
2 72 1
2 74 1
2 92 1
2 98 1
2 99 1
2 104 1
2 110 1
2 115 1
2 120 1
2 127 1
2 134 1
2 143 1
2 147 1
2 154 1
2 172 1
2 178 1
2 196 1
2 228 1
2 245 1
2 261 1
2 263 1
2 290 1
2 291 1
3 5 1
3 11 1
3 13 1
3 17 1
3 25 1
3 27 1
3 67 1
3 84 1
3 104 1
3 109 1
3 155 1
3 156 1
3 184 1
3 288 1
4 5 1
4 6 1
4 8 1
4 10 1
4 11 1
4 14 1
4 15 1
4 16 1
4 18 1
4 21 1
4 23 1
4 27 1
4 29 1
4 32 1
4 37 1
4 38 1
4 43 1
4 52 1
4 53 1
4 66 1
4 67 1
4 68 1
4 79 1
4 81 1
4 84 1
4 101 1
4 105 1
4 116 1
4 117 1
4 128 1
4 154 1
4 162 1
4 187 1
4 202 1
4 205 1
4 219 1
4 221 1
4 241 1
4 247 1
4 264 1
4 283 1
5 6 1
5 7 1
5 8 1
5 9 1
5 11 1
5 30 1
5 32 1
5 48 1
5 88 1
5 100 1
5 113 1
5 169 1
5 172 1
5 224 1
5 248 1
6 7 1
6 9 1
6 15 1
6 17 1
6 72 1
6 77 1
6 81 1
6 90 1
6 91 1
6 97 1
6 106 1
6 118 1
6 131 1
6 132 1
6 133 1
6 136 1
6 182 1
6 188 1
6 193 1
6 215 1
6 219 1
6 237 1
6 247 1
6 264 1
6 281 1
6 294 1
7 9 1
7 10 1
7 12 1
7 14 1
7 24 1
7 28 1
7 31 1
7 34 1
7 38 1
7 44 1
7 56 1
7 63 1
7 83 1
7 84 1
7 102 1
7 108 1
7 120 1
7 138 1
7 141 1
7 175 1
7 190 1
7 220 1
7 233 1
7 252 1
7 265 1
7 287 1
7 290 1
8 9 1
8 11 1
8 13 1
8 17 1
8 19 1
8 21 1
8 24 1
8 32 1
8 44 1
8 46 1
8 70 1
8 82 1
